Frecuencia, Magnitud
3.915354572716949200e+00,5.954124533150738363e-02
3.923685114361028070e+00,6.707452529217600157e-02
3.932015656005106496e+00,7.653608494896274594e-02
3.940346197649185367e+00,8.856362222564982678e-02
3.948676739293263349e+00,1.055039194234319161e-01
3.957007280937341775e+00,1.302821156706447103e-01
3.965337822581420646e+00,1.680903279488828728e-01
3.973668364225499072e+00,2.284136856832188200e-01
3.981998905869577943e+00,3.323597653722069611e-01
3.990329447513656369e+00,5.060157767229633841e-01
3.998659989157735239e+00,7.430138465409646953e-01
4.006990530801814110e+00,3.602053745128531714e-01
4.015321072445892980e+00,1.424424398149616855e-01
4.023651614089970963e+00,9.777481042692941215e-02
4.031982155734049833e+00,7.566122802980938811e-02
4.040312697378127815e+00,6.190971105242591005e-02
4.048643239022206686e+00,5.164362760952179859e-02
4.056973780666285556e+00,4.416497396121490254e-02
4.065304322310364427e+00,3.837096235448188286e-02
4.073634863954442409e+00,3.426064790344822419e-02
4.081965405598521279e+00,2.925483005414927090e-02
4.090295947242600150e+00,2.700164524444057662e-02
4.098626488886679020e+00,2.419205037810474510e-02
4.106957030530757002e+00,2.087142149246384165e-02
4.115287572174835873e+00,1.922564927608861815e-02
4.123618113818914743e+00,1.687788601933952817e-02
4.131948655462992726e+00,1.669583984446057837e-02
4.140279197107071596e+00,1.379814508741765249e-02
4.148609738751150466e+00,1.181513466331633906e-02
4.156940280395228449e+00,1.102080719816026302e-02
4.165270822039307319e+00,9.613102167870589063e-03
4.173601363683386190e+00,8.592303703095794179e-03
4.181931905327465060e+00,9.018655588660110661e-03
4.190262446971543930e+00,7.752270041835240474e-03
4.198592988615621913e+00,7.355099776914809755e-03
4.206923530259700783e+00,8.440461346769076792e-03
4.215254071903779653e+00,9.620093218974747756e-03
4.223584613547857636e+00,1.055683889216093782e-02
4.231915155191936506e+00,1.048137711926702687e-02
4.240245696836014488e+00,1.246170092331725515e-02
4.248576238480093359e+00,1.354389368220299504e-02
4.256906780124172229e+00,1.546978123165575376e-02
4.265237321768251100e+00,1.763156173431019297e-02
4.273567863412329970e+00,1.989056875842822383e-02
4.281898405056407952e+00,2.216131094467965398e-02
4.290228946700486823e+00,2.604344316525717545e-02
4.298559488344565693e+00,2.944292106578834389e-02
4.306890029988644564e+00,3.451797541234737782e-02
4.315220571632722546e+00,3.965215969141714508e-02
4.323551113276800528e+00,4.648650174054790030e-02
4.331881654920879399e+00,5.524923666435711811e-02
4.340212196564958269e+00,6.663824395711549775e-02
4.348542738209037140e+00,8.148990104844698601e-02
4.356873279853116010e+00,1.034625086933372018e-01
4.365203821497193992e+00,1.361965333968312153e-01
4.373534363141272863e+00,1.849397627279500689e-01
4.381864904785351733e+00,2.635679953940564535e-01
4.390195446429430604e+00,3.938347574188295064e-01
4.398525988073509474e+00,6.145243346479204449e-01
4.406856529717587456e+00,1.000000000000000000e+00
4.415187071361665438e+00,1.846049428985863383e-01
4.423517613005744309e+00,1.041481866466827666e-01
4.431848154649823179e+00,8.546340658747345054e-02
4.440178696293902050e+00,7.373835660895221300e-02
4.448509237937980032e+00,6.371022325397975028e-02
4.456839779582058902e+00,5.674036881167871665e-02
4.465170321226137773e+00,5.233706960314610940e-02
4.473500862870216643e+00,4.762430924817790540e-02
4.481831404514295514e+00,4.389779242194038339e-02
4.490161946158373496e+00,4.109116429329660869e-02
4.498492487802451478e+00,3.961926308721044204e-02
4.506823029446530349e+00,3.688138518174115948e-02
4.515153571090609219e+00,3.424146365538779241e-02
4.523484112734688090e+00,3.254777486986430712e-02
4.531814654378766960e+00,3.105834439549221351e-02
4.540145196022844942e+00,2.996433130945774445e-02
4.548475737666923813e+00,2.995342733413487724e-02
4.556806279311002683e+00,3.022164177550869940e-02
4.565136820955081554e+00,2.701102174360758487e-02
4.573467362599159536e+00,2.643528643341228751e-02
4.581797904243238406e+00,2.426787581189753309e-02
4.590128445887316389e+00,2.410753481549990709e-02
4.598458987531395259e+00,2.362506458032644779e-02
4.606789529175474129e+00,2.315872643560916433e-02
4.615120070819553000e+00,2.151203780184038003e-02
4.623450612463630982e+00,2.105341206238310267e-02
4.631781154107709852e+00,2.098335401554975513e-02
4.640111695751788723e+00,2.053935803462710735e-02
4.648442237395867593e+00,1.959763007763728679e-02
4.656772779039946464e+00,1.919234937273878519e-02
4.665103320684024446e+00,1.849550421474397896e-02
4.673433862328103316e+00,1.853344311276403089e-02
4.681764403972181299e+00,1.775481686735176298e-02
4.690094945616260169e+00,1.761271047202795509e-02
4.698425487260339040e+00,1.746964408315897568e-02
4.706756028904417022e+00,1.736542213086065406e-02
4.715086570548495892e+00,1.667571385392305552e-02
4.723417112192574763e+00,1.600880418247607045e-02
4.731747653836653633e+00,1.583523512684344853e-02
4.740078195480732504e+00,1.512104648645556243e-02
4.748408737124810486e+00,1.482364060082683524e-02
4.756739278768889356e+00,8.402636976127942151e-03
4.765069820412967339e+00,1.570920756258080767e-02
4.773400362057046209e+00,1.788799211046858753e-02
4.781730903701125079e+00,1.657752529311280060e-02
4.790061445345203062e+00,1.530407951910482504e-02
4.798391986989281932e+00,1.391509396078880086e-02
